EQTYPE_ID,EQTYPE_IDENT,SHORT_NAME,DESCRIP,START_SHIFT_STATUS_CODE,START_SHIFT_SUB_STATUS_CODE,LINEUP_ENABLED,ACTIVE,MIN_MOVE_SPEED,ICON_ID,MDT_TEXT
79DD41BD-0102-4416-8F16-32E2E28FC664,EX,Excavator,Excavator,NULL,NULL,Y,Y,2,5029,NULL
452DEBFC-F961-444C-A497-39903CC07004,H,Hauler,Hauler,NULL,NULL,Y,Y,5,NULL,NULL
