HEALTH_PROTOCOL_TYPE_IDENT,ALARM_PROTOCOL_CODE,ALARM_PROTOCOL_IDENT,DESCRIPTION,LOCALIZED_DESCRIPTION,SEVERITY,ACTIVE,NAME,EXPRESSION,SEVERITY_LEVEL,CREATED_TIMESTAMP,CREATED_LOGIN_NAME,LAST_UPDATED_TIMESTAMP,LAST_UPDATED_LOGIN_NAME,ALIAS,MUTE,IGNORE_ALARM_RULE,CAN_MERGE_ALARM,MERGE_ALARM_TIME,HAS_MIN_DURATION,MIN_DURATION,IGNORE_ALARM_RULE_SEVERITIES,CAN_FILTER_VIRTUAL_ALARM,FILTER_VIRTUAL_ALARM_TIME
BF397E5F-707B-4C5B-B34E-342AFDD45D05,16405-16,10306,Service brake (R) pressure high,NULL,A,Y,Service brake (R) pressure high,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,16405-18,10307,Service brake (R) pressure low,NULL,A,Y,Service brake (R) pressure low,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,16422-2,10308,Brake Cooling Oil Temp sensor error,NULL,I,Y,Brake Cooling Oil Temp sensor error,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,16422-16,10309,Brake Cooling Oil Temp High,NULL,W,Y,Brake Cooling Oil Temp High,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,16423-16,10310,Brake Cooling Oil Level High,NULL,W,Y,Brake Cooling Oil Level High,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,16423-18,10311,Brake Cooling Oil Level Low,NULL,A,Y,Brake Cooling Oil Level Low,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,16424-2,10312,Brake Cooling Oil Press senor error,NULL,I,Y,Brake Cooling Oil Press senor error,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,16424-18,10313,Brake Cooling Oil Press Low,NULL,A,Y,Brake Cooling Oil Press Low,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,16425-2,10314,Park Brake Release Oil Press sensor error,NULL,W,Y,Park Brake Release Oil Press sensor error,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,16426-16,10315,Brake Supply Pressure Abnormal high,NULL,W,Y,Brake Supply Pressure Abnormal high,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,18412-2,10316,Body Angle sensor error,NULL,I,Y,Body Angle sensor error,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,19400-12,10317,Payload System error,NULL,W,Y,Payload System error,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,19411-2,10318,Strut (LF) pressure sensor error,NULL,I,Y,Strut (LF) pressure sensor error,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,19412-2,10319,Strut (RF) pressure sensor error,NULL,I,Y,Strut (RF) pressure sensor error,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,19413-2,10320,Strut (LR) pressure sensor error,NULL,I,Y,Strut (LR) pressure sensor error,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,19414-2,10321,Strut (RR) pressure sensor error,NULL,I,Y,Strut (RR) pressure sensor error,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,20400-9,10322,Engine link error (ECM<=>CCU),NULL,W,Y,Engine link error (ECM<=>CCU),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,20401-9,10323,Engine link error (ECM<=>DLU),NULL,W,Y,Engine link error (ECM<=>DLU),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
